A,,,,Proposed category,Subcategory(If applied),PureURL
ABS,Returns the absolute value of a numeric expression.,Numeric functions,direct mapping ,numeric,,https://docs.snowflake.com/en/sql-reference/functions/abs
ACOS,"Computes the inverse cosine (arc cosine) of its input; the result is a number in the interval [0, pi].",Numeric functions,direct mapping ,numeric,,https://docs.snowflake.com/en/sql-reference/functions/acos
ACOSH,Computes the inverse (arc) hyperbolic cosine of its input.,Numeric functions,direct mapping ,numeric,,https://docs.snowflake.com/en/sql-reference/functions/acosh
ADD_MONTHS,"Adds or subtracts a specified number of months to a date or timestamp, preserving the end-of-month information.",Date & time functions,need to implement,datetime,,https://docs.snowflake.com/en/sql-reference/functions/add_months
ALERT_HISTORY,This INFORMATION_SCHEMA table function can be used to query the history of alerts within a specified date range.,"Information Schema , Table functions",,information_schema,,https://docs.snowflake.com/en/sql-reference/functions/alert_history
ALL_USER_NAMES,Returns all user names in the current account.,Context functions,,context,,https://docs.snowflake.com/en/sql-reference/functions/all_user_names
ANY_VALUE,Returns some value of the expression from the group.,"Aggregate functions , Window functions",,aggregate,,https://docs.snowflake.com/en/sql-reference/functions/any_value
APPLICATION_JSON,Returns a JSON object that specifies the JSON message to use for a notification.,Notification functions,,notification,,https://docs.snowflake.com/en/sql-reference/functions/application_json
APPROX_COUNT_DISTINCT,"Uses HyperLogLog to return an approximation of the distinct cardinality of the input (i.e. HLL(col1, col2, ... ) returns an approximation of COUNT(DISTINCT col1, col2, ... )).","Aggregate functions , Window functions",,aggregate,,https://docs.snowflake.com/en/sql-reference/functions/approx_count_distinct
APPROX_PERCENTILE,"Returns an approximated value for the desired percentile (that is, if column c has n numbers, APPROX_PERCENTILE(c, p) returns a number such that approximately n * p of the numbers in c are smaller than the returned number).","Aggregate functions , Window functions",,aggregate,,https://docs.snowflake.com/en/sql-reference/functions/approx_percentile
APPROX_PERCENTILE_ACCUMULATE,Returns the internal representation of the t-Digest state (as a JSON object) at the end of aggregation.,"Aggregate functions , Window function syntax and usage",,aggregate,,https://docs.snowflake.com/en/sql-reference/functions/approx_percentile_accumulate
APPROX_PERCENTILE_COMBINE,Combines (merges) percentile input states into a single output state.,"Aggregate functions , Window function syntax and usage",,aggregate,,https://docs.snowflake.com/en/sql-reference/functions/approx_percentile_combine
APPROX_PERCENTILE_ESTIMATE,Returns the desired approximated percentile value for the specified t-Digest state.,"Aggregate functions , Window function syntax and usage",,aggregate,,https://docs.snowflake.com/en/sql-reference/functions/approx_percentile_estimate
APPROX_TOP_K,"Uses Space-Saving to return an approximation of the most frequent values in the input, along with their approximate frequencies.","Aggregate functions , Window functions",,aggregate,,https://docs.snowflake.com/en/sql-reference/functions/approx_top_k
APPROX_TOP_K_ACCUMULATE,Returns the Space-Saving summary at the end of aggregation.,"Aggregate functions , Window function syntax and usage",,aggregate,,https://docs.snowflake.com/en/sql-reference/functions/approx_top_k_accumulate
APPROX_TOP_K_COMBINE,Combines (merges) input states into a single output state.,"Aggregate functions , Window function syntax and usage",,aggregate,,https://docs.snowflake.com/en/sql-reference/functions/approx_top_k_combine
APPROX_TOP_K_ESTIMATE,Returns the approximate most frequent values and their estimated frequency for the given Space-Saving state.,"Aggregate functions , Window function syntax and usage",,aggregate,,https://docs.snowflake.com/en/sql-reference/functions/approx_top_k_estimate
